label	CO2e (kg)	text (metric)	text (imperial)	url suffix (for deep linking)	x offset	y offset	category	source	link
Drying washing on line	0	0g	0lbs	drying_washing_line		-8	household	How Bad Are Bananas?	http://www.amazon.com/How-Bad-are-Bananas-Everything/dp/1846688914
1 litre orange juice	1	850g	1.8lbs	food_orange_juice			food & drink	NY Times	http://www.nytimes.com/2009/01/22/business/22pepsi.html
Yellowstone mud volcano	173,600,000	173kt	190k t	yellowstone_mud_volcano	-1	25	events	NY Times	http://query.nytimes.com/gst/fullpage.html?res=9A07E1DF1E3EF935A15751C1A961958260
Yellowstone entire park	44,000,000,000	44m t	48.5m t	yellowstone				NY Times	http://query.nytimes.com/gst/fullpage.html?res=9A07E1DF1E3EF935A15751C1A961958260
All UK music festivals	84,000,000	84,000t	92,594t	festival_uk_all			events	University Of Oxford Environmental Change Institute	www.eci.ox.ac.uk/research/energy/downloads/first-step.pdf
a music festival	168,000	168t	185t	festival_uk	-20	22	events	University Of Oxford Environmental Change Institute	www.eci.ox.ac.uk/research/energy/downloads/first-step.pdf
London 2012 Olympics (projected)	3,400,000,000	3.4m t	3.7m t	london_2012	7	-15	events	London 2012	www.london2012.com/documents/.../carbon-footprint-study.pdf
									
									
small wedding (100 guests)	5,000	5t	5.5t	wedding_small		27	events	JP Morgan	http://www.jpmorganclimatecare.com/
medium wedding (200 guests)	22	21t	23t	wedding_medium		31	events	JP Morgan	http://www.jpmorganclimatecare.com/
large wedding (300 guests)	84,500	85t	94t	wedding_society		32	events	JP Morgan	http://www.jpmorganclimatecare.com/
Eyjafjallajökull per day	150,000,000	150,000t	165,000t	volcanoes_iceland	-1	20		Agent France Presse	http://www.breitbart.com/article.php?id=CNG.8cc536b2db245bb0c34359dccb86d29a.161&show_article=1
all cars in the UK	18,300,000,000	18.3m t	20.1m t	car_uk	5	1	transport	Carbon Trust Report	http://www.carbontrust.co.uk/Publications/pages/publicationdetail.aspx?id=CTC603
a 2 mile car journey	1	738g	1.62lbs	car_2mile_journey	6		transport	Green Order	https://www.whatcomsmarttrips.org/pdf/Emission%20Facts%202005.pdf
